30064771073,68719476738,RECEIVER
30064771075,68719476740,RECEIVER
30064771077,68719476742,RECEIVER
30064771079,68719476744,RECEIVER
30064771081,68719476746,RECEIVER
30064771083,68719476748,RECEIVER
30064771085,68719476750,RECEIVER
30064771101,30064771100,RECEIVER
30064771110,30064771109,RECEIVER
30064771118,30064771117,RECEIVER
30064771122,30064771121,RECEIVER
30064771126,30064771125,RECEIVER
30064771127,68719476791,RECEIVER
30064771130,30064771129,RECEIVER
30064771133,30064771132,RECEIVER
30064771137,30064771136,RECEIVER
30064771142,124554051584,RECEIVER
30064771144,68719476819,RECEIVER
30064771147,30064771146,RECEIVER
30064771151,30064771150,RECEIVER
30064771155,30064771154,RECEIVER
30064771161,30064771160,RECEIVER
30064771166,30064771165,RECEIVER
30064771168,30064771167,RECEIVER
30064771171,30064771170,RECEIVER
30064771177,30064771176,RECEIVER
30064771182,30064771181,RECEIVER
30064771189,68719476863,RECEIVER
30064771192,30064771191,RECEIVER
30064771194,68719476869,RECEIVER
30064771196,30064771195,RECEIVER
30064771197,30064771196,RECEIVER
30064771202,68719476877,RECEIVER
30064771205,30064771204,RECEIVER
30064771207,30064771206,RECEIVER
30064771209,68719476886,RECEIVER
30064771212,30064771211,RECEIVER
30064771213,30064771212,RECEIVER
30064771217,30064771216,RECEIVER
30064771220,30064771219,RECEIVER
30064771223,30064771222,RECEIVER
30064771232,30064771231,RECEIVER
30064771235,30064771234,RECEIVER
30064771239,30064771238,RECEIVER
