30064771099,30064771101,REACHING_DEF,"(self._user, self._password)"
30064771099,128849018883,REACHING_DEF,"(self._user, self._password)"
30064771101,30064771102,REACHING_DEF,"GraphDatabase.driver(self._uri, auth = (self._user, self._password))"
30064771101,30064771103,REACHING_DEF,"GraphDatabase.driver(self._uri, auth = (self._user, self._password))"
30064771101,128849018883,REACHING_DEF,"GraphDatabase.driver(self._uri, auth = (self._user, self._password))"
30064771102,120259084292,REACHING_DEF,self._driver
30064771102,68719476767,REACHING_DEF,self._driver
30064771102,30064771103,REACHING_DEF,self._driver
30064771102,128849018883,REACHING_DEF,self._driver
30064771103,128849018883,REACHING_DEF,"self._driver = GraphDatabase.driver(self._uri, auth = (self._user, self._password))"
30064771104,128849018881,REACHING_DEF,connect = def connect(...)
30064771105,30064771106,REACHING_DEF,self._driver
30064771105,68719476770,REACHING_DEF,self._driver
30064771105,30064771107,REACHING_DEF,self._driver
30064771106,128849018884,REACHING_DEF,self._driver is not None
30064771107,120259084293,REACHING_DEF,self._driver
30064771107,68719476771,REACHING_DEF,self._driver
30064771107,30064771108,REACHING_DEF,self._driver
30064771107,128849018884,REACHING_DEF,self._driver
30064771108,128849018884,REACHING_DEF,tmp0 = self._driver
30064771110,128849018884,REACHING_DEF,tmp0.close()
30064771111,128849018881,REACHING_DEF,close = def close(...)
30064771112,30064771115,REACHING_DEF,self._driver
30064771112,68719476782,REACHING_DEF,self._driver
30064771112,30064771113,REACHING_DEF,self._driver
30064771112,68719476777,REACHING_DEF,self._driver
30064771112,30064771119,REACHING_DEF,self._driver
30064771113,30064771114,REACHING_DEF,self._driver is not None
30064771113,128849018885,REACHING_DEF,self._driver is not None
30064771114,128849018885,REACHING_DEF,"assert self._driver is not None, ""Driver not initialized!"""
30064771115,68719476778,REACHING_DEF,self._driver
30064771115,30064771116,REACHING_DEF,self._driver
30064771115,120259084294,REACHING_DEF,self._driver
30064771115,128849018885,REACHING_DEF,self._driver
30064771116,128849018885,REACHING_DEF,tmp1 = self._driver
30064771118,25769803785,REACHING_DEF,tmp1.session(database = db)
